,avg_air_temp,avg_soil_temp,doy,net_rad,year,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_bnd1,wp_bnd2,wp_bnd3,wp_bnd7,wp_evi,wp_lswi,wp_ndvi,mb_bnd1,mb_bnd2,mb_bnd3,mb_bnd7,mb_evi,mb_lswi,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
35,22.2,21.6,230,161.0,2012,14534.9287112,-289.344112564,162.410158253,-451.754270817,-854.532319762,9988.1804543,19135.4145306,-83.5018813682,536.82376797,-620.325649338,-363.595345126,13797.1012426,0.05895,0.305575,0.0232875,0.0825375,0.415125,0.574249819206,0.6760625,0.03421875,0.17855625,0.015,0.03504375,0.28379375,0.671496008782,0.6785,28.03,16.725,25.49,17.635
36,24.0,21.6,231,146.0,2012,9964.80735854,-222.601756398,150.112651021,-372.714407419,-2063.45100291,9490.28732935,15939.8205719,-10.8956682449,550.611708289,-561.507376534,-2295.23429905,13142.5543274,0.0591,0.30405,0.023425,0.082625,0.41275,0.572175927747,0.673975,0.0344625,0.1794875,0.0153,0.0350125,0.2851125,0.673131413312,0.678,27.99,16.5,25.43,17.5
37,21.6,21.5,232,160.0,2012,11048.9824717,-319.27160128,151.775137702,-471.046738983,-522.720917072,9872.90934895,19802.5071881,-57.1143066258,556.274342995,-613.38864962,-210.638556919,14209.8333936,0.05925,0.302525,0.0235625,0.0827125,0.410375,0.570102036289,0.6718875,0.03470625,0.18041875,0.0156,0.03498125,0.28643125,0.674766817842,0.6775,27.95,16.275,25.37,17.365
38,21.9,21.4,233,158.0,2012,10556.7058543,-314.525969356,138.898388665,-453.424358022,165.494466845,8755.87413282,21589.4387747,-84.8100393719,542.090318485,-626.900357857,46.6635802108,13664.799241,0.0594,0.301,0.0237,0.0828,0.408,0.56802814483,0.6698,0.03495,0.18135,0.0159,0.03495,0.28775,0.676402222372,0.677,27.91,16.05,25.31,17.23
39,21.1,21.3,234,158.0,2012,10792.5260038,-295.161488794,148.822021365,-443.98351016,-443.107198014,8726.0908723,19410.5389706,-127.444425339,543.970733515,-671.415158854,-873.353069245,13206.0720166,0.05955,0.299475,0.0238375,0.0828875,0.405625,0.565954253372,0.6677125,0.03519375,0.18228125,0.0162,0.03491875,0.28906875,0.678037626902,0.6765,28.065,15.9325,25.5725,17.31
40,20.8,21.3,235,157.0,2012,10855.9945473,-318.283221978,145.744903961,-464.028125939,466.506882893,8377.32624659,19279.5958339,-103.884671353,516.967970022,-620.852641374,1091.63849272,12532.2241308,0.0597,0.29795,0.023975,0.082975,0.40325,0.563880361913,0.665625,0.0354375,0.1832125,0.0165,0.0348875,0.2903875,0.679673031432,0.676,28.22,15.815,25.835,17.39
41,20.1,21.3,236,157.0,2012,11336.1507069,-343.402544719,141.150199133,-484.552743852,1331.88830871,7109.94769326,19181.8516926,-71.9727245512,471.773624302,-543.746348853,1526.55598478,10771.0613712,0.05985,0.296425,0.0241125,0.0830625,0.400875,0.561806470454,0.6635375,0.03568125,0.18414375,0.0168,0.03485625,0.29170625,0.681308435962,0.6755,28.375,15.6975,26.0975,17.47
42,20.5,21.2,237,156.0,2012,11967.7660172,-264.127708504,144.218510697,-408.3462192,-10.9037251135,7563.34725362,18545.3311251,-79.9609994602,467.862194243,-547.823193703,845.776557585,12086.7023429,0.06,0.2949,0.02425,0.08315,0.3985,0.559732578996,0.66145,0.035925,0.185075,0.0171,0.034825,0.293025,0.682943840492,0.675,28.53,15.58,26.36,17.55
43,17.8,20.9,238,153.0,2012,12930.9129548,-247.373465629,155.007724784,-402.381190413,1272.1375033,5865.57260929,15102.9904141,-182.391413511,380.475065414,-562.866478925,2724.09044123,9518.41601923,0.06015,0.293375,0.0243875,0.0832375,0.396125,0.557658687537,0.6593625,0.03616875,0.18600625,0.0174,0.03479375,0.29434375,0.684579245023,0.6745,28.685,15.4625,26.6225,17.63
44,17.5,20.5,239,154.0,2012,12032.4065658,-240.543662101,155.259196519,-395.80285862,958.858320144,5563.39110542,7378.27576111,-118.273610519,251.06690707,-369.34051759,890.983889437,6713.89636098,0.0603,0.29185,0.024525,0.083325,0.39375,0.555584796079,0.657275,0.0364125,0.1869375,0.0177,0.0347625,0.2956625,0.686214649553,0.674,28.84,15.345,26.885,17.71
